ORDERNUMBER,QUANTITYORDERED,PRODUCTLINE,PRICEEACH,CUSTOMERNAME,PHONE,STATE,ORDERDATE
10107,30,Motorcycles,95.7,Land of Toys Inc.,2125557818,NY,7/23/2004 0:00
10121,34,Motorcycles,81.35,Reims Collectables,26.47.1555,,11/18/2003 0:00
10134,41,Motorcycles,94.74,Lyon Souveniers,+33 1 46 62 7555,,10/28/2003 0:00
10145,45,Motorcycles,83.26,Toys4GrownUps.com,6265557265,CA,10/28/2003 0:00
10145,45,Motorcycles,83.26,Toys4GrownUps.com,6265557265,CA,8/25/2003 0:00
10107,30,Motorcycles,95.7,Land of Toys Inc.,2125557818,NY,2/24/2003 0:00
10180,29,Motorcycles,86.13,Daedalus Designs Imports,20.16.1555,,10/15/2004 0:00
10188,48,Motorcycles,100,Herkku Gifts,+47 2267 3215,,11/18/2003 0:00
10201,22,Motorcycles,98.57,Mini Wheels Co.,6505555787,CA,10/28/2003 0:00
10201,22,Motorcycles,98.57,Mini Wheels Co.,6505555787,CA,10/28/2003 0:00
10223,37,Motorcycles,100,"Australian Collectors, Co.",03 9520 4555,Victoria,2/20/2004 0:00
10237,23,Motorcycles,100,Vitachrome Inc.,2125551500,NY,10/15/2004 0:00
10237,23,Motorcycles,100,Vitachrome Inc.,2125551500,NY,10/15/2004 0:00
10263,34,Motorcycles,100,Gift Depot Inc.,2035552570,CT,6/28/2004 0:00
10275,45,Motorcycles,92.83,La Rochelle Gifts,40.67.8555,,7/23/2004 0:00
10285,36,Motorcycles,100,Marta's Replicas Co.,6175558555,MA,8/27/2004 0:00
10299,23,Motorcycles,100,"Toys of Finland, Co.",90-224 8555,,9/30/2004 0:00
10309,41,Motorcycles,100,Baane Mini Imports,07-98 9555,,10/15/2004 0:00
10318,46,Motorcycles,94.74,Diecast Classics Inc.,2155551555,PA,10/15/2004 0:00
10329,42,Motorcycles,100,Land of Toys Inc.,2125557818,NY,11/15/2004 0:00
10341,41,Motorcycles,100,Salzburg Collectables,6562-9555,,11/24/2004 0:00
10361,20,Motorcycles,72.55,Souveniers And Things Co.,+61 2 9495 8555,NSW,12/17/2004 0:00
10375,21,Motorcycles,34.91,La Rochelle Gifts,40.67.8555,,10/15/2004 0:00
10388,42,Motorcycles,76.36,FunGiftIdeas.com,5085552555,MA,10/15/2004 0:00
10403,24,Motorcycles,100,"UK Collectables, Ltd.",(171) 555-2282,,10/15/2004 0:00
10417,66,Motorcycles,100,Euro Shopping Channel,(91) 555 94 44,,5/13/2005 0:00
10103,26,Classic Cars,100,Baane Mini Imports,07-98 9555,,1/29/2003 0:00
10112,29,Classic Cars,100,"Volvo Model Replicas, Co",0921-12 3555,,3/24/2003 0:00
10126,38,Classic Cars,100,"Corrida Auto Replicas, Ltd",(91) 555 22 82,,5/28/2003 0:00
10140,37,Classic Cars,100,Technics Stores Inc.,6505556809,CA,7/24/2003 0:00
10150,45,Classic Cars,100,"Dragon Souveniers, Ltd.",+65 221 7555,,9/19/2003 0:00
10163,21,Classic Cars,100,Classic Legends Inc.,2125558493,NY,10/20/2003 0:00
10174,34,Classic Cars,100,"Australian Gift Network, Co",61-7-3844-6555,Queensland,11/18/2004 0:00
10183,23,Classic Cars,100,"Classic Gift Ideas, Inc",2155554695,PA,11/13/2003 0:00
10194,42,Classic Cars,100,"Saveley & Henriot, Co.",78.32.5555,,11/25/2003 0:00
10206,47,Classic Cars,100,Canadian Gift Exchange Network,(604) 555-3392,BC,11/25/2003 0:00
10215,35,Classic Cars,100,West Coast Collectables Co.,3105553722,CA,1/29/2004 0:00
10228,29,Classic Cars,100,Cambridge Collectables Co.,6175555555,MA,11/18/2004 0:00
